"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built","Published"
"xtable","xtable","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","1.8-8",NA,"R (>= 2.10.0)","stats, utils, methods",NA,"knitr, zoo, survival, glue, tinytex",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-07-16 00:58:58 UTC; windows",NA
"XVector","XVector","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","0.52.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.43.8)","methods, utils, stats, tools, BiocGenerics, S4Vectors, IRanges","S4Vectors, IRanges","Biostrings, drosophila2probe, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","R 4.6.0; x86_64-w64-mingw32; 2026-04-29 10:56:17 UTC; windows",NA
"yaml","yaml","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","2.3.12",NA,NA,NA,NA,"knitr, rmarkdown, testthat (>= 3.0.0)",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-14 01:01:24 UTC; windows",NA
"zip","zip","D:/frda_cardio_analysis/scripts/R/renv/library/windows/R-4.6/x86_64-w64-mingw32","3.0.1",NA,NA,NA,"cli","callr, cli, curl, pillar, processx, R6, testthat, webfakes,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-07-16 01:01:02 UTC; windows",NA
"base","base","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","4.6.1","base",NA,NA,NA,"methods","chron, date, round","Part of R 4.6.1",NA,NA,NA,NA,NA,"R 4.6.1; ; 2026-06-24 08:20:51 UTC; windows",NA
"boot","boot","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","1.3-32","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-06-24 08:32:04 UTC; windows",NA
"class","class","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","7.3-23","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:04 UTC; windows",NA
"cluster","cluster","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","2.1.8.2","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix","mvoutlier, fpc, ellipse, sfsmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:11 UTC; windows",NA
"codetools","codetools","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","0.2-20","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","R 4.6.1; ; 2026-06-24 08:32:25 UTC; windows",NA
"compiler","compiler","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","4.6.1","base",NA,NA,NA,NA,NA,"Part of R 4.6.1",NA,NA,NA,NA,NA,"R 4.6.1; ; 2026-06-24 08:14:21 UTC; windows",NA
"datasets","datasets","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","4.6.1","base",NA,NA,NA,NA,NA,"Part of R 4.6.1",NA,NA,NA,NA,NA,"R 4.6.1; ; 2026-06-24 08:19:02 UTC; windows",NA
"foreign","foreign","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","0.8-91","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:28 UTC; windows",NA
"graphics","graphics","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","4.6.1","base",NA,"grDevices",NA,NA,"vcd","Part of R 4.6.1",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:16:56 UTC; windows",NA
"grDevices","grDevices","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","4.6.1","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.6.1",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:16:14 UTC; windows",NA
"grid","grid","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","4.6.1","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.6.1",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:19:46 UTC; windows",NA
"KernSmooth","KernSmooth","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","2.23-26","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:40 UTC; windows",NA
"lattice","lattice","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","0.22-9","recommended","R (>= 4.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra, colorspace","chron, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:23:40 UTC; windows",NA
"MASS","MASS","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","7.3-65","recommended","R (>= 4.4.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:23:25 UTC; windows",NA
"Matrix","Matrix","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","1.7-5","recommended","R (>= 4.4), methods","grDevices, graphics, grid, lattice, stats, utils",NA,"MASS, datasets, sfsmisc, tools","SparseM, graph","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:23:58 UTC; windows",NA
"methods","methods","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","4.6.1","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.6.1",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:19:12 UTC; windows",NA
"mgcv","mgcv","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","1.9-4","recommended","R (>= 4.4.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:21 UTC; windows",NA
"nlme","nlme","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","3.1-169","recommended","R (>= 3.6.0)","graphics, stats, utils, lattice",NA,"MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:30:23 UTC; windows",NA
"nnet","nnet","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","7.3-20","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:09 UTC; windows",NA
"parallel","parallel","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","4.6.1","base",NA,"tools, compiler",NA,"methods","snow, Rmpi, mirai, parallelly","Part of R 4.6.1",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:20:30 UTC; windows",NA
"rpart","rpart","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","4.1.27","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:48 UTC; windows",NA
"spatial","spatial","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","7.3-18","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:33:14 UTC; windows",NA
"splines","splines","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","4.6.1","base",NA,"graphics, stats",NA,"Matrix, methods",NA,"Part of R 4.6.1",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:20:12 UTC; windows",NA
"stats","stats","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","4.6.1","base",NA,"utils, grDevices, graphics",NA,"MASS, Matrix, SuppDists, methods, stats4","Kendall, coin, multcomp, pcaPP, pspearman, robustbase","Part of R 4.6.1",NA,NA,NA,NA,"yes","R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:17:23 UTC; windows",NA
"stats4","stats4","C:/Users/hp/AppData/Local/R/cache/R/renv/sandbox/windows/R-4.6/x86_64-w64-mingw32/862924a9","4.6.1","base",NA,"graphics, methods, stats",NA,NA,NA,"Part of R 4.6.1",NA,NA,NA,NA,NA,"R 4.6.1; ; 2026-06-24 08:20:17 UTC; windows",NA
